source_ip,win_total_events,win_unique_hosts,win_unique_users,win_failed_logons,win_process_creations,win_privileged_logons,win_service_installs,win_rdp_logons,win_network_logons,win_off_hours_events,win_fail_ratio,win_priv_ratio,win_process_ratio,win_off_hours_ratio,zeek_total_conns,zeek_unique_dst_ips,zeek_unique_dst_ports,zeek_failed_conns,zeek_encrypted_conns,zeek_off_hours_conns,zeek_mean_duration,zeek_mean_orig_bytes,zeek_mean_resp_bytes,zeek_total_orig_bytes,zeek_mean_bytes_ratio,zeek_mean_orig_pkts,zeek_fail_ratio,zeek_encrypted_ratio,zeek_off_hours_ratio,zeek_dst_diversity,threat_score,is_anomaly,ind_high_fail_ratio,ind_high_upload_ratio,ind_high_port_spread
192.168.1.24,28.0,19.0,22.0,4.0,0.0,0.0,0.0,9.0,19.0,3.0,0.14285714285714285,0.0,0.0,0.10714285714285714,189.0,121.0,7.0,0.0,68.0,100.0,392.1097248677249,604320.2063492064,890922.3915343916,114216519.0,0.5760533482177136,117.18518518518519,0.0,0.35978835978835977,0.5291005291005291,0.05785123966942149,0.7163293844059384,1,1,0,0
192.168.1.42,36.0,24.0,24.0,9.0,0.0,0.0,0.0,8.0,28.0,2.0,0.25,0.0,0.0,0.05555555555555555,187.0,132.0,6.0,0.0,70.0,103.0,347.50657754010695,410951.32620320853,794623.4117647059,76847898.0,0.4830110724056837,92.58823529411765,0.0,0.37433155080213903,0.5508021390374331,0.045454545454545456,0.7119818091884905,1,1,0,0
10.10.1.6,35.0,23.0,25.0,6.0,0.0,0.0,0.0,10.0,25.0,1.0,0.17142857142857143,0.0,0.0,0.02857142857142857,37.0,1.0,1.0,0.0,0.0,22.0,0.10567567567567568,59.86486486486486,183.67567567567568,2215.0,0.3622884626679732,1.0,0.0,0.0,0.5945945945945946,1.0,0.7099080464077496,1,1,0,0
10.10.1.14,29.0,26.0,21.0,5.0,0.0,0.0,0.0,9.0,20.0,1.0,0.1724137931034483,0.0,0.0,0.034482758620689655,41.0,1.0,1.0,0.0,0.0,18.0,0.10882926829268293,61.31707317073171,193.02439024390245,2514.0,0.37088068235876087,1.0,0.0,0.0,0.43902439024390244,1.0,0.7044964991670413,1,1,0,0
10.10.1.11,27.0,21.0,22.0,6.0,0.0,0.0,0.0,7.0,20.0,1.0,0.2222222222222222,0.0,0.0,0.037037037037037035,35.0,1.0,1.0,0.0,0.0,18.0,0.11359999999999999,59.4,181.62857142857143,2079.0,0.3830511203124572,1.0,0.0,0.0,0.5142857142857142,1.0,0.696802386171981,1,1,0,0
192.168.1.17,31.0,24.0,23.0,9.0,0.0,0.0,0.0,8.0,23.0,4.0,0.2903225806451613,0.0,0.0,0.12903225806451613,189.0,139.0,6.0,0.0,74.0,104.0,271.9989417989418,406286.24867724866,766353.6296296297,76788101.0,0.36220587719176545,99.1005291005291,0.0,0.3915343915343915,0.5502645502645502,0.04316546762589928,0.6962000595005726,1,1,0,0
192.168.1.23,33.0,22.0,22.0,7.0,0.0,0.0,0.0,4.0,29.0,7.0,0.21212121212121213,0.0,0.0,0.21212121212121213,228.0,149.0,7.0,0.0,83.0,113.0,283.0205131578947,493076.19736842107,750238.9429824562,112421373.0,0.4484783462052902,110.47368421052632,0.0,0.36403508771929827,0.4956140350877193,0.04697986577181208,0.691933764009744,1,1,0,0
192.168.1.19,24.0,17.0,20.0,9.0,0.0,0.0,0.0,5.0,19.0,2.0,0.375,0.0,0.0,0.08333333333333333,190.0,129.0,7.0,0.0,78.0,103.0,223.11583684210527,274608.74736842106,533839.2421052632,52175662.0,0.33055401926601974,58.83684210526316,0.0,0.4105263157894737,0.5421052631578948,0.05426356589147287,0.6900884426454914,1,1,0,0
10.10.1.10,24.0,19.0,18.0,3.0,0.0,0.0,0.0,9.0,15.0,0.0,0.125,0.0,0.0,0.0,43.0,1.0,1.0,0.0,0.0,22.0,0.10269767441860465,60.16279069767442,180.25581395348837,2587.0,0.38740753617211204,1.0,0.0,0.0,0.5116279069767442,1.0,0.6872734077653491,1,1,0,0
192.168.1.46,35.0,26.0,24.0,6.0,0.0,0.0,0.0,9.0,26.0,2.0,0.17142857142857143,0.0,0.0,0.05714285714285714,190.0,125.0,7.0,0.0,76.0,94.0,339.56305263157896,525126.9157894737,703799.8263157895,99774114.0,2.284998733152479,109.21052631578948,0.0,0.4,0.49473684210526314,0.056,0.6835024102514977,1,1,1,0
192.168.1.39,39.0,28.0,25.0,6.0,0.0,0.0,0.0,9.0,30.0,5.0,0.15384615384615385,0.0,0.0,0.1282051282051282,211.0,150.0,7.0,0.0,83.0,106.0,356.3636113744076,363886.97156398103,848478.8293838863,76780151.0,0.35611921864196827,100.13270142180095,0.0,0.3933649289099526,0.5023696682464455,0.04666666666666667,0.6776874005132248,1,1,0,0
192.168.1.47,28.0,19.0,24.0,7.0,0.0,0.0,0.0,8.0,20.0,2.0,0.25,0.0,0.0,0.07142857142857142,194.0,140.0,7.0,0.0,72.0,100.0,298.7565618556701,515039.53092783503,797069.0773195876,99917669.0,1.2482397771284317,105.19072164948453,0.0,0.3711340206185567,0.5154639175257731,0.05,0.6758847151613812,1,1,1,0
192.168.1.31,34.0,22.0,26.0,7.0,0.0,0.0,0.0,11.0,23.0,1.0,0.20588235294117646,0.0,0.0,0.029411764705882353,180.0,125.0,7.0,0.0,78.0,109.0,306.0585722222222,457498.6222222222,833172.6333333333,82349752.0,0.49140053879092255,108.35,0.0,0.43333333333333335,0.6055555555555555,0.056,0.6753140095665668,1,1,0,0
192.168.1.14,33.0,23.0,23.0,4.0,0.0,0.0,0.0,15.0,18.0,2.0,0.12121212121212122,0.0,0.0,0.06060606060606061,178.0,125.0,7.0,0.0,67.0,90.0,305.389202247191,462291.5449438202,760620.1235955056,82287895.0,0.38956847776446485,109.26966292134831,0.0,0.37640449438202245,0.5056179775280899,0.056,0.668976233932945,1,1,0,0
192.168.1.18,33.0,26.0,26.0,6.0,0.0,0.0,0.0,12.0,21.0,6.0,0.18181818181818182,0.0,0.0,0.18181818181818182,229.0,149.0,7.0,0.0,78.0,108.0,272.07195633187774,354376.0742358079,624877.5938864629,81152121.0,0.4664824470844845,98.19213973799127,0.0,0.3406113537117904,0.47161572052401746,0.04697986577181208,0.6663232240210727,1,1,0,0
192.168.1.11,35.0,22.0,28.0,9.0,0.0,0.0,0.0,9.0,26.0,2.0,0.2571428571428571,0.0,0.0,0.05714285714285714,187.0,135.0,7.0,0.0,82.0,95.0,308.58579679144384,448022.385026738,779352.7165775402,83780186.0,0.5678031742512406,102.85561497326204,0.0,0.4385026737967914,0.5080213903743316,0.05185185185185185,0.6649951354600951,1,1,0,0
192.168.1.12,25.0,20.0,19.0,5.0,0.0,0.0,0.0,7.0,18.0,0.0,0.2,0.0,0.0,0.0,180.0,127.0,6.0,0.0,72.0,87.0,362.0066222222222,368255.4277777778,682019.6944444445,66285977.0,1.1900248072419042,113.37222222222222,0.0,0.4,0.48333333333333334,0.047244094488188976,0.6626779341589998,1,1,1,0
192.168.1.25,27.0,19.0,23.0,7.0,0.0,0.0,0.0,5.0,22.0,3.0,0.25925925925925924,0.0,0.0,0.1111111111111111,204.0,142.0,7.0,0.0,86.0,93.0,311.7766911764706,368043.20588235295,725301.3039215687,75080814.0,0.5707262767866216,105.67156862745098,0.0,0.4215686274509804,0.45588235294117646,0.04929577464788732,0.662246374888691,1,1,0,0
192.168.1.38,38.0,27.0,29.0,6.0,0.0,0.0,0.0,10.0,28.0,1.0,0.15789473684210525,0.0,0.0,0.02631578947368421,199.0,141.0,7.0,0.0,86.0,93.0,284.0679296482412,387689.82412060304,869367.0,77150275.0,0.30337980478385407,79.48743718592965,0.0,0.4321608040201005,0.46733668341708545,0.04964539007092199,0.6609233854215386,1,1,0,0
192.168.1.34,22.0,17.0,17.0,6.0,0.0,0.0,0.0,3.0,19.0,1.0,0.2727272727272727,0.0,0.0,0.045454545454545456,207.0,139.0,6.0,0.0,90.0,107.0,296.2779033816425,384411.81642512075,618110.3188405797,79573246.0,0.3817998496602759,99.05314009661836,0.0,0.43478260869565216,0.5169082125603864,0.04316546762589928,0.6587250932811347,1,1,0,0
192.168.1.44,23.0,19.0,19.0,4.0,0.0,0.0,0.0,9.0,14.0,1.0,0.17391304347826086,0.0,0.0,0.043478260869565216,189.0,127.0,7.0,0.0,80.0,108.0,304.45102645502647,355690.15343915345,769695.5978835978,67225439.0,1.6164496822196435,114.56613756613757,0.0,0.42328042328042326,0.5714285714285714,0.05511811023622047,0.6535379978455238,1,1,1,0
192.168.1.37,34.0,21.0,27.0,4.0,0.0,0.0,0.0,11.0,23.0,2.0,0.11764705882352941,0.0,0.0,0.058823529411764705,183.0,119.0,7.0,0.0,79.0,96.0,265.42909836065576,345955.6775956284,524552.5683060109,63309889.0,0.516834359822795,81.33879781420765,0.0,0.43169398907103823,0.5245901639344263,0.058823529411764705,0.6487652751778412,1,1,0,0
192.168.1.27,27.0,21.0,21.0,8.0,0.0,0.0,0.0,4.0,23.0,1.0,0.2962962962962963,0.0,0.0,0.037037037037037035,215.0,153.0,7.0,0.0,85.0,106.0,311.292,365183.53953488375,703320.7953488372,78514461.0,0.6332817747229936,100.11162790697675,0.0,0.3953488372093023,0.4930232558139535,0.0457516339869281,0.6476790824148871,0,1,0,0
192.168.1.41,28.0,19.0,23.0,4.0,0.0,0.0,0.0,8.0,20.0,3.0,0.14285714285714285,0.0,0.0,0.10714285714285714,212.0,146.0,7.0,0.0,91.0,119.0,329.1758113207547,475327.6462264151,762924.6367924528,100769461.0,0.42291209868489144,104.31603773584905,0.0,0.42924528301886794,0.5613207547169812,0.04794520547945205,0.6411517902447866,0,1,0,0
192.168.1.45,35.0,25.0,25.0,3.0,0.0,0.0,0.0,8.0,27.0,2.0,0.08571428571428572,0.0,0.0,0.05714285714285714,209.0,148.0,7.0,0.0,80.0,105.0,259.27625358851674,289961.7894736842,608427.7799043062,60602014.0,1.4561455676214257,96.55023923444976,0.0,0.3827751196172249,0.5023923444976076,0.0472972972972973,0.6388829830332273,0,1,1,0
192.168.1.22,26.0,19.0,20.0,5.0,0.0,0.0,0.0,7.0,19.0,2.0,0.19230769230769232,0.0,0.0,0.07692307692307693,198.0,131.0,6.0,0.0,69.0,110.0,337.31853030303034,320480.6767676768,673471.2373737374,63455174.0,0.38394327744280976,91.94444444444444,0.0,0.3484848484848485,0.5555555555555556,0.04580152671755725,0.6352927966038354,0,1,0,0
192.168.1.36,34.0,22.0,21.0,6.0,0.0,0.0,0.0,10.0,24.0,0.0,0.17647058823529413,0.0,0.0,0.0,196.0,129.0,7.0,0.0,89.0,107.0,293.29583163265306,504964.32653061225,734328.8826530612,98973008.0,0.5550484011648696,120.96938775510205,0.0,0.45408163265306123,0.5459183673469388,0.05426356589147287,0.6248511675050459,0,1,0,0
192.168.1.49,15.0,12.0,12.0,4.0,0.0,0.0,0.0,2.0,13.0,3.0,0.26666666666666666,0.0,0.0,0.2,218.0,148.0,7.0,0.0,90.0,121.0,336.5463669724771,455251.8532110092,744251.7247706422,99244904.0,0.44443218579164145,91.64220183486239,0.0,0.41284403669724773,0.555045871559633,0.0472972972972973,0.6232726988037314,0,1,0,0
192.168.1.28,41.0,27.0,27.0,5.0,0.0,0.0,0.0,8.0,33.0,2.0,0.12195121951219512,0.0,0.0,0.04878048780487805,201.0,137.0,7.0,0.0,87.0,106.0,260.6905024875622,359486.2388059702,630019.7661691542,72256734.0,0.5534832608488767,82.53731343283582,0.0,0.43283582089552236,0.527363184079602,0.051094890510948905,0.6202629474761281,0,1,0,0
192.168.1.21,31.0,25.0,26.0,3.0,0.0,0.0,0.0,11.0,20.0,2.0,0.0967741935483871,0.0,0.0,0.06451612903225806,210.0,141.0,7.0,0.0,82.0,111.0,317.4794380952381,445970.0380952381,798299.6,93653708.0,0.4362936137362689,114.88095238095238,0.0,0.3904761904761905,0.5285714285714286,0.04964539007092199,0.6087933566139814,0,1,0,0
192.168.1.20,32.0,23.0,21.0,5.0,0.0,0.0,0.0,12.0,20.0,3.0,0.15625,0.0,0.0,0.09375,189.0,135.0,7.0,0.0,76.0,89.0,301.8903597883598,420962.8783068783,829241.455026455,79561984.0,0.4607389372095775,106.4074074074074,0.0,0.4021164021164021,0.4708994708994709,0.05185185185185185,0.6019726158084615,0,1,0,0
192.168.1.15,28.0,18.0,21.0,4.0,0.0,0.0,0.0,4.0,24.0,1.0,0.14285714285714285,0.0,0.0,0.03571428571428571,185.0,126.0,7.0,0.0,66.0,100.0,234.54796216216215,249987.18378378378,612083.0648648649,46247629.0,0.36826893565162677,92.5027027027027,0.0,0.3567567567567568,0.5405405405405406,0.05555555555555555,0.5916853006988017,0,1,0,0
192.168.1.29,29.0,22.0,19.0,6.0,0.0,0.0,0.0,6.0,23.0,0.0,0.20689655172413793,0.0,0.0,0.0,233.0,145.0,7.0,0.0,93.0,113.0,316.7756566523605,370185.9613733906,736610.5450643777,86253329.0,0.3670226498580705,86.21888412017168,0.0,0.39914163090128757,0.48497854077253216,0.04827586206896552,0.5836217662181256,0,1,0,0
192.168.1.26,31.0,22.0,20.0,3.0,0.0,0.0,0.0,12.0,19.0,2.0,0.0967741935483871,0.0,0.0,0.06451612903225806,212.0,140.0,7.0,0.0,89.0,117.0,286.8555471698113,377298.7688679245,773266.8820754717,79987339.0,0.3936193762487631,89.75943396226415,0.0,0.419811320754717,0.5518867924528302,0.05,0.5835543385743381,0,1,0,0
192.168.1.30,24.0,17.0,17.0,5.0,0.0,0.0,0.0,7.0,17.0,1.0,0.20833333333333334,0.0,0.0,0.041666666666666664,204.0,130.0,7.0,0.0,76.0,94.0,294.8166029411765,347146.1274509804,633276.2647058824,70817810.0,0.7463359466052046,91.65686274509804,0.0,0.37254901960784315,0.46078431372549017,0.05384615384615385,0.572786895456902,0,1,1,0
193.123.142.201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,13.0,13.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.46153846153846156,4.333333333333333,0.5477807590549956,0,0,0,1
192.168.1.48,21.0,19.0,16.0,4.0,0.0,0.0,0.0,8.0,13.0,0.0,0.19047619047619047,0.0,0.0,0.0,215.0,157.0,7.0,0.0,91.0,111.0,282.78922790697675,368876.7162790698,732038.4,79308494.0,0.30028756873217155,89.43255813953489,0.0,0.4232558139534884,0.5162790697674419,0.044585987261146494,0.5395676825519241,0,1,0,0
103.60.245.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,10.0,10.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8,3.3333333333333335,0.5371927165295958,0,0,0,1
192.168.1.32,24.0,18.0,19.0,4.0,0.0,0.0,0.0,7.0,17.0,1.0,0.16666666666666666,0.0,0.0,0.041666666666666664,202.0,134.0,7.0,0.0,82.0,98.0,269.9957376237624,412815.28217821784,631606.0396039604,83388687.0,0.4787632337224018,85.1930693069307,0.0,0.40594059405940597,0.48514851485148514,0.05223880597014925,0.5181589746572846,0,1,0,0
10.30.1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,1.0,1.0,0.0,0.0,24.0,0.11951923076923077,54.48076923076923,160.30769230769232,2833.0,0.4277953125546482,1.0,0.0,0.0,0.46153846153846156,1.0,0.5080829919514542,0,0,0,0
114.213.195.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,10.0,10.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.7,3.3333333333333335,0.507179994351081,0,0,0,1
10.10.1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,1.0,0.0,0.0,20.0,0.11715555555555555,65.77777777777777,164.7111111111111,2960.0,0.5040105737442483,1.0,0.0,0.0,0.4444444444444444,1.0,0.4970912909835561,0,0,0,0
192.168.2.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,137.0,6.0,0.0,84.0,109.0,375.52587142857146,597170.8047619048,747567.3428571429,125405869.0,3.525592903994464,132.13333333333333,0.0,0.4,0.5190476190476191,0.043795620437956206,0.4911795826336858,0,0,1,0
192.168.1.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,156.0,6.0,0.0,97.0,116.0,305.58225,560635.4464285715,901757.5089285715,125582340.0,0.45655542080961764,131.10714285714286,0.0,0.4330357142857143,0.5178571428571429,0.038461538461538464,0.487817046544593,0,0,0,0
