event_id,timestamp,username,hostname,event_type,resource_accessed,bytes_transferred,duration_sec,source_ip,is_off_hours,is_new_resource,failed_attempts_prior_1h,peer_group_deviation_score,is_anomaly,anomaly_type,mitre_technique
UE-0000000244,2026-04-17 09:33:42.213,rita.regmi,WS-KTM-007,DB_QUERY,intranet_portal,522870,16.34,192.168.1.17,False,False,0,0.0675,False,,
UE-0000000143,2026-01-05 13:08:24.881,roshan.karki,WS-KTM-001,REMOTE_LOGIN,hr_payroll,41961,11.87,192.168.1.11,False,False,0,0.1913,False,,
UE-00000001C0,2025-12-22 14:09:53.846,rekha.rai,WS-KTM-099,EMAIL_SEND,shared_drive_operations,119157,87.71,192.168.1.99,False,False,0,0.0721,False,,
UE-0000000106,2026-03-19 10:43:37.676,deepak.rai,WS-BTW-013,DB_QUERY,shared_drive_operations,27733,20.39,192.168.10.23,False,False,0,0.0759,False,,
UE-00000001AF,2025-02-19 09:26:28.389,roshan.karki,WS-KTM-001,FILE_ACCESS,kyc_documents,16357,57.6,192.168.1.11,False,False,0,0.0355,False,,
UE-00000002E8,2026-04-13 17:10:53.605,suresh.poudel,WS-KTM-004,FILE_ACCESS,transaction_logs,34570,10.72,192.168.1.14,False,False,0,0.3834,False,,
UE-00000000B9,2026-01-12 08:25:03.583,deepak.rai,WS-BTW-013,EMAIL_SEND,branch_reports,323013,45.21,192.168.10.23,False,False,0,0.1647,False,,
UE-00000000FF,2026-06-25 08:14:13.922,suresh.poudel,WS-KTM-004,REMOTE_LOGIN,shared_drive_operations,219111,124.46,192.168.1.14,False,False,0,0.1386,False,,
UE-0000000545,2025-03-28 13:27:13.154,sunil.karki,WS-KTM-005,DB_QUERY,pumori_loan_table,139805707,28.7,192.168.1.15,False,True,3,0.6681,True,PRIVILEGE_ABUSE,T1005
UE-00000003AF,2026-03-09 16:07:46.061,gita.basnet,WS-PKR-010,REMOTE_LOGIN,kyc_documents,328512,62.99,192.168.2.20,False,False,0,0.0755,False,,
UE-0000000042,2025-01-16 10:26:55.670,rajan.regmi,WS-BTW-015,LARGE_DOWNLOAD,transaction_logs,27051,24.92,192.168.10.25,False,False,0,0.2618,False,,
UE-000000035C,2026-05-25 09:15:38.125,laxmi.poudel,WS-PKR-009,PRINT,branch_reports,97992,1.5,192.168.2.19,False,False,0,0.1005,False,,
UE-000000002C,2025-06-10 11:11:35.076,ram.rai,WS-KTM-003,FILE_ACCESS,hr_payroll,361388090,32.49,192.168.1.13,False,False,0,0.2142,False,,
UE-00000003DF,2025-02-18 12:58:26.545,ram.thapa,WS-KTM-008,DB_QUERY,customer_records,43766,98.75,192.168.1.18,False,False,0,0.192,False,,
UE-0000000479,2026-05-18 09:33:22.717,gita.basnet,WS-PKR-010,EMAIL_SEND,kyc_documents,638354,78.4,192.168.2.20,False,False,0,0.1698,False,,
UE-0000000338,2025-03-26 13:31:07.394,anita.magar,WS-KTM-002,DB_QUERY,shared_drive_operations,1079209,12.38,192.168.1.12,False,False,0,0.2291,False,,
UE-00000000EA,2026-03-03 14:09:19.385,rekha.khadka,WS-PKR-011,FILE_ACCESS,shared_drive_finance,11879184,6.52,192.168.2.21,False,False,0,0.1926,False,,
UE-000000017F,2025-02-25 13:00:27.089,bikash.poudel,WS-KTM-005,DB_QUERY,intranet_portal,235084,30.41,192.168.1.15,False,False,0,0.192,False,,
UE-0000000211,2025-04-01 09:16:14.379,sita.basnet,WS-BTW-014,FILE_ACCESS,customer_records,829272,60.46,192.168.10.24,False,False,0,0.2016,False,,
UE-0000000044,2025-11-21 15:55:34.036,deepak.rai,WS-BTW-013,EMAIL_SEND,loan_applications,59048,52.76,192.168.10.23,False,False,0,0.0979,False,,
UE-0000000162,2026-01-19 09:37:37.265,deepak.rai,WS-BTW-013,SOFTWARE_INSTALL,transaction_logs,5854,35.98,192.168.10.23,False,True,0,0.0682,False,,
UE-00000002C7,2025-12-08 14:22:51.301,rekha.rai,WS-KTM-099,DB_QUERY,customer_records,27294,12.15,192.168.1.99,False,False,0,0.1697,False,,
UE-0000000229,2026-05-14 12:16:35.879,rekha.khadka,WS-PKR-011,EMAIL_SEND,hr_payroll,16393,104.33,192.168.2.21,False,False,0,0.3699,False,,
UE-00000003AD,2026-06-17 16:18:13.095,bikash.poudel,WS-KTM-005,EMAIL_SEND,kyc_documents,5516,17.02,192.168.1.15,False,False,0,0.182,False,,
UE-0000000553,2025-04-23 08:31:59.701,deepak.bhattarai,WS-KTM-003,SHARE_ACCESS,branch_reports,50326454,328.22,192.168.1.13,True,False,0,0.719,True,NEW_RESOURCE,T1078
UE-00000002A7,2025-03-31 13:29:56.047,anita.magar,WS-KTM-002,FILE_ACCESS,intranet_portal,101524,42.74,192.168.1.12,False,False,0,0.2461,False,,
UE-00000000F5,2025-06-23 10:46:34.500,bindu.joshi,WS-PKR-012,FILE_ACCESS,shared_drive_finance,670793,2.1,192.168.2.22,False,False,0,0.3033,False,,
UE-0000000032,2025-04-04 11:43:53.881,roshan.karki,WS-KTM-001,EMAIL_SEND,customer_records,919431,6.71,192.168.1.11,False,False,0,0.1265,False,,
UE-00000002A5,2026-06-22 12:49:20.146,rekha.rai,WS-KTM-099,PRINT,transaction_logs,10449,22.06,192.168.1.99,False,False,0,0.1138,False,,
UE-00000000E8,2026-06-18 11:26:19.281,bikash.poudel,WS-KTM-005,FILE_ACCESS,shared_drive_operations,43226,16.88,192.168.1.15,False,False,0,0.0637,False,,
UE-000000045B,2025-05-30 08:38:20.316,gita.basnet,WS-PKR-010,EMAIL_SEND,attendance_system,4182891,4.84,192.168.2.20,False,False,0,0.3459,False,,
UE-000000032E,2025-08-21 12:08:13.133,bikash.poudel,WS-KTM-005,LARGE_DOWNLOAD,hr_payroll,4991,24.65,192.168.1.15,False,False,0,0.0746,False,,
UE-0000000248,2025-02-13 17:50:44.486,roshan.karki,WS-KTM-001,SHARE_ACCESS,account_statements,4460690,8.99,192.168.1.11,False,False,0,0.2172,False,,
UE-00000004B0,2025-10-02 10:40:38.013,ram.rai,WS-KTM-003,PRINT,customer_records,865,14.54,192.168.1.13,False,False,0,0.1754,False,,
UE-00000002F4,2025-02-14 09:47:03.947,rajan.regmi,WS-BTW-015,EMAIL_SEND,account_statements,240309,5.04,192.168.10.25,False,False,0,0.2813,False,,
UE-0000000446,2025-04-14 08:03:17.769,rekha.rai,WS-KTM-099,LARGE_DOWNLOAD,intranet_portal,52396,1.7,192.168.1.99,False,False,0,0.1147,False,,
UE-0000000408,2025-12-15 09:20:54.192,rajan.regmi,WS-BTW-015,DB_QUERY,attendance_system,47893,61.22,192.168.10.25,False,False,0,0.1342,False,,
UE-000000010A,2025-01-27 09:22:35.095,suresh.poudel,WS-KTM-004,EMAIL_SEND,branch_reports,41964,35.2,192.168.1.14,False,False,0,0.1078,False,,
UE-0000000074,2026-01-06 09:27:54.108,rajan.regmi,WS-BTW-015,FILE_ACCESS,shared_drive_operations,1296371,4.52,192.168.10.25,False,False,0,0.1097,False,,
UE-00000002B8,2025-04-03 11:52:08.908,anita.magar,WS-KTM-002,EMAIL_SEND,intranet_portal,31057,12.61,192.168.1.12,False,False,0,0.2388,False,,
UE-00000003B1,2026-04-10 13:15:51.763,roshan.karki,WS-KTM-001,LARGE_DOWNLOAD,shared_drive_operations,11135,75.1,192.168.1.11,False,False,0,0.0988,False,,
UE-0000000490,2025-01-22 10:09:22.512,suresh.poudel,WS-KTM-004,FILE_ACCESS,intranet_portal,118696,91.0,192.168.1.14,False,False,0,0.2094,False,,
UE-00000001A5,2025-06-04 10:12:21.419,anita.magar,WS-KTM-002,LARGE_DOWNLOAD,email_server,1220812,9.67,192.168.1.12,False,False,0,0.0153,False,,
UE-0000000386,2025-04-03 14:51:23.628,sita.basnet,WS-BTW-014,FILE_ACCESS,intranet_portal,527398,22.38,192.168.10.24,False,False,0,0.239,False,,
UE-0000000034,2026-05-19 09:30:22.418,sita.basnet,WS-BTW-014,DB_QUERY,intranet_portal,1283280,9.54,192.168.10.24,False,False,0,0.338,False,,
UE-000000025B,2025-09-04 17:34:13.384,rekha.khadka,WS-PKR-011,PRINT,attendance_system,29920,20.53,192.168.2.21,False,False,0,0.314,False,,
UE-000000041A,2026-01-26 13:47:25.876,rajan.regmi,WS-BTW-015,FILE_ACCESS,customer_records,4634,6.31,192.168.10.25,False,True,0,0.3484,False,,
UE-00000003D4,2026-03-02 16:57:44.720,nabin.joshi,WS-KTM-006,DB_QUERY,hr_payroll,55428,17.24,192.168.1.16,False,False,0,0.111,False,,
UE-0000000130,2025-09-15 10:45:20.848,bikash.poudel,WS-KTM-005,FILE_ACCESS,intranet_portal,472,88.4,192.168.1.15,False,False,0,0.1525,False,,
UE-0000000021,2026-05-04 15:28:50.017,ram.thapa,WS-KTM-008,FILE_ACCESS,loan_applications,6793990,32.66,192.168.1.18,False,False,0,0.2534,False,,
UE-000000034B,2026-06-12 14:17:01.712,sita.basnet,WS-BTW-014,DB_QUERY,customer_records,27020,4.08,192.168.10.24,False,False,0,0.0767,False,,
UE-000000042F,2026-01-26 16:20:11.452,ram.thapa,WS-KTM-008,EMAIL_SEND,transaction_logs,518499,26.34,192.168.1.18,False,False,0,0.2825,False,,
UE-00000000D1,2025-05-19 16:29:17.197,rekha.rai,WS-KTM-099,REMOTE_LOGIN,branch_reports,7236,29.8,192.168.1.99,False,False,0,0.1197,False,,
UE-0000000173,2025-08-18 17:52:11.387,bindu.joshi,WS-PKR-012,DB_QUERY,attendance_system,461503,26.57,192.168.2.22,False,False,0,0.2259,False,,
UE-0000000307,2025-08-19 13:22:57.273,rita.regmi,WS-KTM-007,EMAIL_SEND,hr_payroll,62641,2.68,192.168.1.17,False,False,0,0.1303,False,,
UE-0000000391,2025-01-28 11:30:41.148,rita.regmi,WS-KTM-007,EMAIL_SEND,hr_payroll,31440,16.44,192.168.1.17,False,False,0,0.0739,False,,
UE-000000016C,2026-02-02 13:59:53.865,ram.thapa,WS-KTM-008,FILE_ACCESS,loan_applications,726374,5.5,192.168.1.18,False,False,0,0.4601,False,,
UE-0000000406,2026-04-29 16:48:09.886,roshan.karki,WS-KTM-001,DB_QUERY,loan_applications,273085,30.15,192.168.1.11,False,False,0,0.17,False,,
UE-0000000299,2026-04-22 09:47:54.212,roshan.karki,WS-KTM-001,PRINT,hr_payroll,259256,24.99,192.168.1.11,False,False,0,0.0628,False,,
UE-000000004F,2025-10-30 13:47:26.179,ram.rai,WS-KTM-003,FILE_ACCESS,shared_drive_finance,5290,106.11,192.168.1.13,False,False,0,0.3055,False,,
UE-0000000122,2026-02-02 17:25:37.116,rekha.khadka,WS-PKR-011,DB_QUERY,email_server,127580,40.92,192.168.2.21,False,False,0,0.0383,False,,
UE-0000000436,2026-05-08 09:21:08.732,deepak.rai,WS-BTW-013,DB_QUERY,account_statements,401971,86.52,192.168.10.23,False,False,0,0.1649,False,,
UE-0000000536,2026-05-17 03:40:00.000,ram.shrestha,WS-KTM-001,DB_QUERY,pumori_loan_table,419496706,272.0,192.168.1.11,True,False,0,0.7873,True,LARGE_DATA_TRANSFER,T1041
UE-00000001A0,2025-08-18 16:40:50.487,rekha.khadka,WS-PKR-011,PRIVILEGE_USE,intranet_portal,24031,25.98,192.168.2.21,False,False,0,0.2125,False,,
UE-00000000C5,2026-04-16 16:21:34.362,nabin.joshi,WS-KTM-006,SHARE_ACCESS,attendance_system,5240500,3.55,192.168.1.16,False,False,0,0.1992,False,,
UE-00000000F0,2025-11-26 12:24:29.546,ram.thapa,WS-KTM-008,EMAIL_SEND,kyc_documents,343902,34.21,192.168.1.18,False,False,0,0.3073,False,,
UE-00000004E7,2025-10-14 21:23:22.091,ram.rai,WS-KTM-003,FILE_ACCESS,account_statements,507142,11.15,192.168.1.13,True,False,0,0.4331,False,,
UE-000000050B,2026-02-07 06:51:59.591,rita.regmi,WS-KTM-007,DB_QUERY,account_statements,38779,11.34,192.168.1.17,True,False,0,0.3534,False,,
UE-00000003DE,2025-10-08 09:43:33.477,sita.basnet,WS-BTW-014,DB_QUERY,shared_drive_finance,22983,3.36,192.168.10.24,False,False,0,0.0871,False,,
UE-000000046E,2025-03-28 09:32:19.372,anita.magar,WS-KTM-002,LARGE_DOWNLOAD,account_statements,134561,9.12,192.168.1.12,False,False,0,0.108,False,,
UE-0000000187,2025-06-27 10:13:51.197,rajan.regmi,WS-BTW-015,FILE_ACCESS,hr_payroll,1928516,43.94,192.168.10.25,False,False,0,0.1477,False,,
UE-0000000040,2026-01-26 14:42:50.840,rekha.rai,WS-KTM-099,SHARE_ACCESS,account_statements,125456,26.56,192.168.1.99,False,False,0,0.0441,False,,
UE-000000018B,2025-04-21 17:49:06.804,suresh.poudel,WS-KTM-004,DB_QUERY,shared_drive_finance,16686,64.65,192.168.1.14,False,False,0,0.2865,False,,
UE-00000000EE,2025-08-11 15:13:55.928,rita.regmi,WS-KTM-007,DB_QUERY,customer_records,21385,14.15,192.168.1.17,False,False,0,0.1865,False,,
UE-000000023C,2026-01-23 11:16:05.432,deepak.rai,WS-BTW-013,EMAIL_SEND,shared_drive_finance,39384,14.15,192.168.10.23,False,False,0,0.4114,False,,
UE-00000002D3,2025-07-21 16:21:43.706,ram.thapa,WS-KTM-008,LARGE_DOWNLOAD,branch_reports,18128,43.79,192.168.1.18,False,False,0,0.0296,False,,
UE-0000000104,2025-04-11 14:14:53.077,anita.magar,WS-KTM-002,DB_QUERY,shared_drive_operations,356328,8.27,192.168.1.12,False,False,0,0.1245,False,,
UE-000000002D,2025-10-27 08:14:18.723,rekha.rai,WS-KTM-099,DB_QUERY,email_server,34694,26.9,192.168.1.99,False,False,0,0.0684,False,,
UE-00000004A9,2026-01-27 12:55:40.649,suresh.poudel,WS-KTM-004,EMAIL_SEND,loan_applications,205594,11.27,192.168.1.14,False,False,0,0.0443,False,,
UE-00000000F8,2026-01-19 08:39:40.682,rajan.regmi,WS-BTW-015,USB_INSERT,email_server,133548,64.11,192.168.10.25,False,False,0,0.1599,False,,
UE-0000000334,2025-10-16 10:57:48.550,rita.regmi,WS-KTM-007,FILE_ACCESS,attendance_system,431322,32.27,192.168.1.17,False,False,0,0.272,False,,
UE-00000002D2,2025-12-10 12:17:51.100,laxmi.poudel,WS-PKR-009,DB_QUERY,shared_drive_operations,4444751,25.22,192.168.2.19,False,False,0,0.0414,False,,
UE-000000047E,2025-10-10 14:33:45.902,gita.basnet,WS-PKR-010,SOFTWARE_INSTALL,loan_applications,117723,25.68,192.168.2.20,False,False,0,0.2123,False,,
UE-0000000139,2025-04-08 08:13:30.079,ram.rai,WS-KTM-003,FILE_ACCESS,loan_applications,24094,18.41,192.168.1.13,False,False,0,0.1893,False,,
UE-000000052D,2026-05-17 03:22:20.000,ram.shrestha,WS-KTM-001,FILE_ACCESS,pumori_customer_table,470534008,278.79,192.168.1.11,True,False,0,0.8283,True,LARGE_DATA_TRANSFER,T1041
UE-0000000496,2025-08-25 11:21:27.490,gita.basnet,WS-PKR-010,FILE_ACCESS,hr_payroll,100422,48.13,192.168.2.20,False,False,0,0.405,False,,
UE-00000001EF,2025-11-24 15:28:21.631,rita.regmi,WS-KTM-007,SHARE_ACCESS,attendance_system,294534,72.65,192.168.1.17,False,False,0,0.1277,False,,
UE-0000000362,2025-09-01 15:24:00.931,suresh.poudel,WS-KTM-004,LARGE_DOWNLOAD,kyc_documents,2879,26.03,192.168.1.14,False,False,0,0.0867,False,,
UE-000000045C,2025-08-11 15:18:45.989,rekha.rai,WS-KTM-099,DB_QUERY,branch_reports,33049,7.4,192.168.1.99,False,False,0,0.1307,False,,
UE-000000039A,2026-04-29 10:39:13.289,bindu.joshi,WS-PKR-012,SHARE_ACCESS,transaction_logs,1904977,4.07,192.168.2.22,False,False,0,0.3563,False,,
UE-00000001E0,2025-01-27 16:52:49.383,gita.basnet,WS-PKR-010,EMAIL_SEND,shared_drive_finance,1255151,17.12,192.168.2.20,False,False,0,0.2665,False,,
UE-000000012A,2026-03-30 16:13:27.104,anita.magar,WS-KTM-002,SHARE_ACCESS,intranet_portal,94632,21.06,192.168.1.12,False,False,0,0.0068,False,,
UE-000000021B,2025-08-25 13:26:22.528,ram.thapa,WS-KTM-008,EMAIL_SEND,attendance_system,25008,9.16,192.168.1.18,False,False,0,0.1821,False,,
UE-000000019B,2025-04-15 08:32:42.989,deepak.rai,WS-BTW-013,REMOTE_LOGIN,branch_reports,79627,19.47,192.168.10.23,False,False,0,0.0085,False,,
UE-0000000066,2025-03-03 17:35:35.337,bikash.poudel,WS-KTM-005,SHARE_ACCESS,hr_payroll,51351,6.62,192.168.1.15,False,False,0,0.2218,False,,
UE-0000000434,2025-06-09 15:01:48.390,sita.basnet,WS-BTW-014,DB_QUERY,transaction_logs,201675,18.54,192.168.10.24,False,False,0,0.111,False,,
UE-00000000A4,2026-06-15 14:58:35.120,rekha.rai,WS-KTM-099,DB_QUERY,kyc_documents,45456,8.47,192.168.1.99,False,False,0,0.1205,False,,
UE-0000000226,2026-01-19 13:54:25.286,sita.basnet,WS-BTW-014,DB_QUERY,shared_drive_operations,938552,139.48,192.168.10.24,False,False,0,0.3566,False,,
UE-0000000249,2025-09-12 10:31:05.702,ram.rai,WS-KTM-003,EMAIL_SEND,intranet_portal,3573,1.87,192.168.1.13,False,False,0,0.2994,False,,
UE-000000041B,2025-05-20 13:42:47.475,suresh.poudel,WS-KTM-004,DB_QUERY,transaction_logs,32151,88.44,192.168.1.14,False,False,0,0.2247,False,,
UE-00000002C2,2026-01-29 13:14:11.434,rajan.regmi,WS-BTW-015,EMAIL_SEND,shared_drive_operations,137017,92.99,192.168.10.25,False,False,0,0.1456,False,,
UE-0000000556,2025-05-27 11:27:37.940,deepak.bhattarai,WS-KTM-003,FILE_ACCESS,customer_records,68749185,48.32,192.168.1.13,False,True,0,0.8428,True,NEW_RESOURCE,T1078
UE-0000000167,2025-03-04 09:17:24.140,rekha.rai,WS-KTM-099,DB_QUERY,intranet_portal,136390,6.23,192.168.1.99,False,False,0,0.1219,False,,
UE-000000030A,2025-03-31 09:25:57.183,rajan.regmi,WS-BTW-015,DB_QUERY,transaction_logs,159759,6.92,192.168.10.25,False,False,0,0.1128,False,,
UE-0000000370,2026-03-05 10:26:50.149,rita.regmi,WS-KTM-007,FILE_ACCESS,kyc_documents,19321789,32.08,192.168.1.17,False,False,0,0.2348,False,,
UE-00000004F3,2026-01-06 20:30:13.055,anita.magar,WS-KTM-002,FILE_ACCESS,customer_records,18072,1.71,192.168.1.12,True,False,0,0.2754,False,,
UE-0000000114,2026-05-27 10:40:19.247,sita.basnet,WS-BTW-014,DB_QUERY,account_statements,707685,33.03,192.168.10.24,False,False,0,0.2365,False,,
UE-0000000394,2025-02-24 13:00:06.645,deepak.rai,WS-BTW-013,REMOTE_LOGIN,hr_payroll,16204,30.68,192.168.10.23,False,False,0,0.07,False,,
UE-0000000525,2026-01-02 07:04:13.672,nabin.joshi,WS-KTM-006,DB_QUERY,branch_reports,39237,3.48,192.168.1.16,True,False,0,0.3009,False,,
UE-0000000276,2025-03-05 12:56:24.911,laxmi.poudel,WS-PKR-009,LARGE_DOWNLOAD,customer_records,232233,85.66,192.168.2.19,False,False,0,0.1818,False,,
UE-0000000212,2026-06-18 12:45:38.058,deepak.rai,WS-BTW-013,USB_INSERT,account_statements,882325,21.16,192.168.10.23,False,False,0,0.0909,False,,
UE-00000000A9,2025-03-10 12:25:45.736,ram.rai,WS-KTM-003,DB_QUERY,hr_payroll,32971,10.02,192.168.1.13,False,False,0,0.0902,False,,
UE-0000000561,2026-03-08 14:09:24.000,admin.operations,SRV-DC-01,REMOTE_LOGIN,ad_admin_console,4343,1.65,10.10.1.10,False,False,9,0.5712,True,PRIVILEGE_ABUSE,T1110
UE-0000000548,2025-02-06 17:17:15.067,sunil.karki,WS-KTM-005,DB_QUERY,pumori_transaction_db,32120569,20.15,192.168.1.15,False,True,3,0.698,True,PRIVILEGE_ABUSE,T1005
UE-00000001CE,2025-09-12 12:25:21.993,sita.basnet,WS-BTW-014,DB_QUERY,account_statements,142292,40.59,192.168.10.24,False,False,0,0.1017,False,,
UE-000000029E,2026-04-20 14:59:47.057,rekha.khadka,WS-PKR-011,REMOTE_LOGIN,kyc_documents,12246,10.99,192.168.2.21,False,False,0,0.3112,False,,
UE-00000001EE,2025-12-05 13:08:42.671,rekha.rai,WS-KTM-099,FILE_ACCESS,kyc_documents,2733021,34.37,192.168.1.99,False,False,0,0.2599,False,,
UE-000000032D,2025-06-26 12:01:47.834,rekha.khadka,WS-PKR-011,FILE_ACCESS,account_statements,1777931,19.39,192.168.2.21,False,False,0,0.0992,False,,
UE-000000017A,2025-06-16 15:04:51.866,ram.thapa,WS-KTM-008,FILE_ACCESS,customer_records,33361,50.54,192.168.1.18,False,False,0,0.2099,False,,
UE-0000000433,2025-10-06 15:05:23.407,rita.regmi,WS-KTM-007,DB_QUERY,email_server,896634,1.95,192.168.1.17,False,False,0,0.1305,False,,
UE-00000000DB,2025-06-18 13:54:33.452,bikash.poudel,WS-KTM-005,FILE_ACCESS,loan_applications,4103794,64.24,192.168.1.15,False,False,0,0.1436,False,,
UE-000000039E,2025-08-21 09:35:14.498,suresh.poudel,WS-KTM-004,DB_QUERY,branch_reports,445156,15.8,192.168.1.14,False,False,0,0.1243,False,,
UE-000000003B,2026-03-02 15:30:15.467,laxmi.poudel,WS-PKR-009,EMAIL_SEND,hr_payroll,50074,4.77,192.168.2.19,False,False,0,0.1917,False,,
UE-00000000C7,2026-05-18 13:30:22.573,rita.regmi,WS-KTM-007,USB_INSERT,attendance_system,5152983,8.78,192.168.1.17,False,False,0,0.19,False,,
UE-000000026A,2026-03-10 13:22:12.328,sita.basnet,WS-BTW-014,DB_QUERY,intranet_portal,24938,26.92,192.168.10.24,False,True,0,0.209,False,,
UE-0000000018,2025-06-17 12:06:37.026,suresh.poudel,WS-KTM-004,SOFTWARE_INSTALL,shared_drive_operations,22442885,10.8,192.168.1.14,False,False,0,0.1186,False,,
UE-000000006C,2025-11-17 13:49:36.610,bindu.joshi,WS-PKR-012,FILE_ACCESS,customer_records,341906,84.58,192.168.2.22,False,False,0,0.0916,False,,
UE-000000031F,2025-06-30 16:29:45.581,sita.basnet,WS-BTW-014,PRINT,account_statements,1139617,3.78,192.168.10.24,False,False,0,0.1003,False,,
UE-00000002C9,2025-01-28 12:31:05.129,gita.basnet,WS-PKR-010,EMAIL_SEND,kyc_documents,75687,6.92,192.168.2.20,False,False,0,0.1514,False,,
UE-000000054B,2025-09-02 10:20:43.071,sunil.karki,WS-KTM-005,DB_QUERY,pumori_customer_table,55289882,23.27,192.168.1.15,False,True,0,0.7665,True,PRIVILEGE_ABUSE,T1005
UE-0000000459,2025-05-12 16:42:38.604,bindu.joshi,WS-PKR-012,FILE_ACCESS,hr_payroll,49787,68.36,192.168.2.22,False,True,0,0.382,False,,
UE-00000004E2,2025-06-16 16:33:46.623,admin_db_sync,SRV-SQL-02,DB_QUERY,pumori_transaction_db,595459,5.03,10.10.2.11,False,False,0,0.0594,False,,
UE-0000000551,2025-10-08 16:57:58.460,deepak.bhattarai,WS-KTM-003,EMAIL_SEND,SWIFT_MT940_statements,81218431,548.89,192.168.1.13,True,False,0,0.8214,True,NEW_RESOURCE,T1078
UE-00000001CB,2026-04-14 17:32:08.986,rajan.regmi,WS-BTW-015,DB_QUERY,shared_drive_finance,114839,42.4,192.168.10.25,False,False,0,0.1075,False,,
UE-0000000295,2025-12-04 16:26:33.214,laxmi.poudel,WS-PKR-009,SHARE_ACCESS,shared_drive_operations,315433,10.08,192.168.2.19,False,False,0,0.2286,False,,
UE-0000000458,2025-11-17 08:37:34.194,roshan.karki,WS-KTM-001,REMOTE_LOGIN,hr_payroll,2510917,40.9,192.168.1.11,False,False,0,0.1457,False,,
UE-000000024E,2026-04-06 12:52:16.554,bikash.poudel,WS-KTM-005,DB_QUERY,customer_records,76907,16.05,192.168.1.15,False,False,0,0.0498,False,,
UE-000000035A,2025-03-07 14:57:23.687,gita.basnet,WS-PKR-010,SHARE_ACCESS,transaction_logs,2115,20.3,192.168.2.20,False,False,0,0.0855,False,,
UE-0000000364,2025-02-04 12:55:05.842,sita.basnet,WS-BTW-014,PRINT,email_server,569906,23.85,192.168.10.24,False,False,0,0.1323,False,,
UE-00000001AC,2025-12-17 15:22:48.192,bikash.poudel,WS-KTM-005,FILE_ACCESS,hr_payroll,4641,17.61,192.168.1.15,False,True,0,0.1639,False,,
UE-00000001E7,2025-02-17 09:22:59.514,ram.rai,WS-KTM-003,FILE_ACCESS,intranet_portal,32857,15.72,192.168.1.13,False,False,0,0.1426,False,,
