event_id,event_log_id,timestamp,hostname,domain,event_name,event_description,subject_username,subject_domain,target_username,target_domain,logon_type,logon_type_name,process_name,process_id,parent_process,source_ip,workstation_name,failure_reason,is_anomaly,anomaly_type,mitre_technique
4688,EVT-NH2ODPVJTU,2025-01-03 08:36:03.339,SRV-DC-01,GIBLBANK,Process created,A new process has been created: svchost.exe,user_008,GIBLBANK,user_008,GIBLBANK,,,svchost.exe,40500,explorer.exe,,SRV-DC-01,,False,,
4624,EVT-NVP8GMNHIE,2025-01-03 09:59:02.652,WS-KTM-014,GIBLBANK,Successful logon,An account was successfully logged on. Logon Type: 10,user_033,GIBLBANK,user_033,GIBLBANK,10,RemoteInteractive,,64927,,192.168.1.40,WS-KTM-014,,False,,
4624,EVT-9GXVUNF6I7,2025-01-03 11:18:03.630,WS-KTM-003,GIBLBANK,Successful logon,An account was successfully logged on. Logon Type: 3,user_038,GIBLBANK,user_038,GIBLBANK,3,Network,,7618,,10.10.1.12,WS-KTM-003,,False,,
4740,EVT-OEVZRPE7PK,2025-01-03 11:37:03.773,WS-KTM-016,GIBLBANK,Account locked out,Account user_024 was locked after repeated failures.,user_024,GIBLBANK,user_024,GIBLBANK,,,,37029,,45.33.32.156,WS-KTM-016,Account locked,False,,
4624,EVT-FQE50C7WXG,2025-01-03 13:14:29.193,WS-PKR-001,GIBLBANK,Successful logon,An account was successfully logged on. Logon Type: 10,user_029,GIBLBANK,user_029,GIBLBANK,10,RemoteInteractive,,17948,,10.10.1.16,WS-PKR-001,,False,,
4624,EVT-FQE50C7WXG,2025-01-03 13:14:29.193,WS-PKR-001,GIBLBANK,Successful logon,An account was successfully logged on. Logon Type: 10,user_029,GIBLBANK,user_029,GIBLBANK,10,RemoteInteractive,,17948,,10.10.1.16,WS-PKR-001,,False,,
5140,EVT-SUED6V5Z3A,2025-01-03 13:37:02.192,SRV-SQL-01,GIBLBANK,Network share accessed,A network share object was accessed: \\SRV-FILE-01\Shared,user_013,GIBLBANK,user_013,GIBLBANK,3,Network,System,35948,,,SRV-SQL-01,,False,,
4688,EVT-DSLCB8QSSP,2025-01-03 21:15:14.991,ATM-KTM-001,GIBLBANK,Process created,A new process has been created: notepad.exe,user_023,GIBLBANK,user_023,GIBLBANK,,,notepad.exe,45408,explorer.exe,,ATM-KTM-001,,False,,
5140,EVT-P3SKYKZ1GW,2025-01-04 08:35:08.906,SRV-FILE-01,GIBLBANK,Network share accessed,A network share object was accessed: \\SRV-SQL-01\Backup,user_005,GIBLBANK,user_005,GIBLBANK,3,Network,System,18021,,,SRV-FILE-01,,False,,
4688,EVT-0A9Z1XED6A,2025-01-04 09:26:27.600,WS-KTM-018,GIBLBANK,Process created,powershell.exe spawned by winword.exe — macro execution indicator.,user_003,GIBLBANK,user_003,GIBLBANK,,,powershell.exe,40579,winword.exe,,WS-KTM-018,,False,,
4624,EVT-OFAWWJNN41,2025-01-04 09:37:04.868,WS-PKR-005,GIBLBANK,Successful logon,An account was successfully logged on. Logon Type: 2,user_033,GIBLBANK,user_033,GIBLBANK,2,Interactive,,17195,,,WS-PKR-005,,False,,
4624,EVT-0CLCCVGJJ1,2025-01-04 09:50:16.174,ATM-PKR-002,GIBLBANK,Successful logon,An account was successfully logged on. Logon Type: 10,user_008,GIBLBANK,user_008,GIBLBANK,10,RemoteInteractive,,41260,,10.10.1.10,ATM-PKR-002,,False,,
4624,EVT-0CLCCVGJJ1,2025-01-04 09:50:16.174,ATM-PKR-002,GIBLBANK,Successful logon,An account was successfully logged on. Logon Type: 10,user_008,GIBLBANK,user_008,GIBLBANK,10,RemoteInteractive,,41260,,10.10.1.10,ATM-PKR-002,,False,,
4688,EVT-646R9PIBW1,2025-01-04 10:14:55.786,WS-KTM-010,GIBLBANK,Process created,A new process has been created: explorer.exe,atm_tech1,GIBLBANK,atm_tech1,GIBLBANK,,,explorer.exe,17928,services.exe,,WS-KTM-010,,False,,
4688,EVT-PRL1JRWSWA,2025-01-04 12:02:45.048,WS-KTM-012,GIBLBANK,Process created,A new process has been created: outlook.exe,user_004,GIBLBANK,user_004,GIBLBANK,,,outlook.exe,52330,explorer.exe,,WS-KTM-012,,False,,
4624,EVT-CR6C1PY6Q9,2025-01-04 12:18:28.764,ATM-KTM-005,GIBLBANK,Successful logon,An account was successfully logged on. Logon Type: 2,user_011,GIBLBANK,user_011,GIBLBANK,2,Interactive,,44604,,,ATM-KTM-005,,False,,
4624,EVT-1X2IUXORJG,2025-01-04 13:00:44.759,SWIFT-GW-01,GIBLBANK,Successful logon,An account was successfully logged on. Logon Type: 2,user_015,GIBLBANK,user_015,GIBLBANK,2,Interactive,,31678,,,SWIFT-GW-01,,False,,
4672,EVT-V9RRUHCU5M,2025-01-04 16:00:51.092,SRV-DC-02,GIBLBANK,Special privileges assigned,Special privileges assigned to new logon.,SRV-DC-02$,GIBLBANK,SRV-DC-02$,GIBLBANK,3,Network,,61396,,,SRV-DC-02,,False,,
4740,EVT-R965R96KHU,2025-01-04 16:02:52.519,WS-BTW-003,GIBLBANK,Account locked out,Account user_024 was locked after repeated failures.,user_024,GIBLBANK,user_024,GIBLBANK,,,,3948,,203.0.113.55,WS-BTW-003,Account locked,False,,
4624,EVT-HVFOBSDKUX,2025-01-04 16:30:10.828,SRV-DC-02,GIBLBANK,Successful logon,"Suspicious network logon — pass-the-hash indicator (Type 3, no password prompt).",SRV-DC-02$,GIBLBANK,SRV-DC-02$,GIBLBANK,3,Network,,35432,,192.168.1.34,SRV-DC-02,,True,PASS_THE_HASH,T1550.002
4624,EVT-JE3WITF9QM,2025-01-04 17:11:00.299,WS-PKR-001,GIBLBANK,Successful logon,Service account logon.,svc_monitor,GIBLBANK,svc_monitor,GIBLBANK,5,Service,,21762,,,WS-PKR-001,,False,,
4624,EVT-E6KKRKAB0Y,2025-01-04 17:40:12.426,SRV-APP-02,GIBLBANK,Successful logon,An account was successfully logged on. Logon Type: 2,svc_monitor,GIBLBANK,svc_monitor,GIBLBANK,2,Interactive,,51796,,,SRV-APP-02,,False,,
4624,EVT-RI9U2F3ZK1,2025-01-04 17:42:11.708,WS-KTM-016,GIBLBANK,Successful logon,Service account logon.,svc_monitor,GIBLBANK,svc_monitor,GIBLBANK,5,Service,,44162,,,WS-KTM-016,,False,,
4624,EVT-20USZSKZK9,2025-01-04 17:59:34.308,WS-KTM-016,GIBLBANK,Successful logon,Service account logon.,svc_monitor,GIBLBANK,svc_monitor,GIBLBANK,5,Service,,58710,,,WS-KTM-016,,False,,
4625,EVT-RVCF7C8T3L,2025-01-04 22:54:16.729,WS-KTM-015,GIBLBANK,Failed logon,An account failed to log on. Reason: Account locked,user_022,GIBLBANK,user_022,GIBLBANK,3,Network,,13571,,192.168.1.23,WS-KTM-015,Account locked,False,,
4624,EVT-C14MCHGUIC,2025-01-05 02:46:50.184,SRV-FILE-01,GIBLBANK,Successful logon,Network logon from workstation WS-PKR-005 to server — lateral movement.,user_013,GIBLBANK,user_013,GIBLBANK,3,Network,net.exe,45226,,192.168.1.30,SRV-FILE-01,,False,,
5140,EVT-D2EEV7INRZ,2025-01-05 10:13:21.766,SRV-DC-01,GIBLBANK,Network share accessed,A network share object was accessed: \\SRV-SQL-01\Backup,user_002,GIBLBANK,user_002,GIBLBANK,3,Network,System,17694,,,SRV-DC-01,,False,,
4625,EVT-QNX0OF7SWU,2025-01-05 11:51:47.673,WS-KTM-011,GIBLBANK,Failed logon,An account failed to log on. Reason: Account locked,user_018,GIBLBANK,user_018,GIBLBANK,3,Network,,30723,,192.168.1.28,WS-KTM-011,Account locked,False,,
4625,EVT-Y4JUFN24XC,2025-01-05 12:04:34.319,WS-KTM-002,GIBLBANK,Failed logon,An account failed to log on. Reason: Account locked,user_004,GIBLBANK,user_004,GIBLBANK,3,Network,,32035,,198.51.100.22,WS-KTM-002,Account locked,False,,
4688,EVT-BZ1Y46WTZZ,2025-01-05 12:18:17.981,WS-PKR-008,GIBLBANK,Process created,A new process has been created: outlook.exe,user_021,GIBLBANK,user_021,GIBLBANK,,,outlook.exe,23782,svchost.exe,,WS-PKR-008,,False,,
4648,EVT-Z5CWCC2P37,2025-01-05 12:37:22.819,SRV-APP-01,GIBLBANK,Explicit credential use,Explicit credentials used: user_008 used credentials for SRV-DC-02$.,user_008,GIBLBANK,SRV-DC-02$,GIBLBANK,3,Network,,16311,,10.10.1.8,SRV-APP-01,,False,,
4625,EVT-QYPICLKS44,2025-01-05 13:22:02.981,WS-KTM-008,GIBLBANK,Failed logon,An account failed to log on. Reason: Account locked,user_011,GIBLBANK,user_011,GIBLBANK,3,Network,,50433,,192.168.1.30,WS-KTM-008,Account locked,False,,
4624,EVT-N4CBUWW3VG,2025-01-05 13:50:56.853,ATM-KTM-005,GIBLBANK,Successful logon,An account was successfully logged on. Logon Type: 10,user_003,GIBLBANK,user_003,GIBLBANK,10,RemoteInteractive,,52083,,192.168.1.18,ATM-KTM-005,,False,,
5140,EVT-GAE7UTEI5C,2025-01-05 14:48:02.580,SRV-FILE-01,GIBLBANK,Network share accessed,A network share object was accessed: \\SRV-SQL-01\Backup,user_016,GIBLBANK,user_016,GIBLBANK,3,Network,System,31195,,,SRV-FILE-01,,False,,
4624,EVT-VPYH75EZM5,2025-01-05 17:16:38.796,WS-KTM-013,GIBLBANK,Successful logon,An account was successfully logged on. Logon Type: 3,user_020,GIBLBANK,user_020,GIBLBANK,3,Network,,5575,,192.168.1.18,WS-KTM-013,,False,,
4688,EVT-LLD5OBQ2SA,2025-01-05 17:27:33.296,ATM-PKR-003,GIBLBANK,Process created,A new process has been created: outlook.exe,user_039,GIBLBANK,user_039,GIBLBANK,,,outlook.exe,50339,svchost.exe,,ATM-PKR-003,,False,,
4672,EVT-VWKFU90FPI,2025-01-05 17:27:33.716,SRV-PROXY-01,GIBLBANK,Special privileges assigned,Special privileges assigned to new logon.,admin_02,GIBLBANK,admin_02,GIBLBANK,3,Network,,27151,,,SRV-PROXY-01,,False,,
4688,EVT-EM9NNC8YCI,2025-01-06 07:55:40.539,WS-KTM-010,GIBLBANK,Process created,A new process has been created: outlook.exe,user_027,GIBLBANK,user_027,GIBLBANK,,,outlook.exe,47968,explorer.exe,,WS-KTM-010,,False,,
4625,EVT-LSO8SB4JC7,2025-01-06 08:35:59.542,WS-PKR-009,GIBLBANK,Failed logon,An account failed to log on. Reason: Wrong password,user_031,GIBLBANK,user_031,GIBLBANK,3,Network,,23168,,192.168.1.28,WS-PKR-009,Wrong password,False,,
5140,EVT-98UNCQS651,2025-01-06 11:04:31.354,SRV-FILE-01,GIBLBANK,Network share accessed,A network share object was accessed: \\SRV-FILE-01\Finance,user_025,GIBLBANK,user_025,GIBLBANK,3,Network,System,17603,,,SRV-FILE-01,,False,,
5140,EVT-W3MQOJYSSE,2025-01-06 11:06:05.635,SRV-DC-01,GIBLBANK,Network share accessed,A network share object was accessed: \\SRV-SQL-01\Backup,user_021,GIBLBANK,user_021,GIBLBANK,3,Network,System,43657,,,SRV-DC-01,,False,,
4624,EVT-AB8CKQC4LF,2025-01-06 11:09:54.887,SRV-APP-02,GIBLBANK,Successful logon,Service account logon.,svc_monitor,GIBLBANK,svc_monitor,GIBLBANK,5,Service,,33380,,,SRV-APP-02,,False,,
4688,EVT-X1BL6F6FU5,2025-01-06 12:37:08.925,SWIFT-GW-01,GIBLBANK,Process created,A new process has been created: svchost.exe,swift_op2,GIBLBANK,swift_op2,GIBLBANK,,,svchost.exe,56316,services.exe,,SWIFT-GW-01,,False,,
4624,EVT-LY7500LNKK,2025-01-06 13:29:23.435,WS-KTM-006,GIBLBANK,Successful logon,An account was successfully logged on. Logon Type: 2,atm_tech1,GIBLBANK,atm_tech1,GIBLBANK,2,Interactive,,37430,,,WS-KTM-006,,False,,
4624,EVT-ID3U94SGFD,2025-01-06 13:30:11.728,SRV-APP-01,GIBLBANK,Successful logon,An account was successfully logged on. Logon Type: 3,user_001,GIBLBANK,user_001,GIBLBANK,3,Network,,20362,,10.10.1.16,SRV-APP-01,,False,,
4688,EVT-MW5GYRW6OW,2025-01-06 13:39:11.202,SWIFT-GW-03,GIBLBANK,Process created,A new process has been created: svchost.exe,user_025,GIBLBANK,user_025,GIBLBANK,,,svchost.exe,14110,services.exe,,SWIFT-GW-03,,False,,
4624,EVT-9S1T78VO78,2025-01-06 13:39:18.887,WS-KTM-015,GIBLBANK,Successful logon,An account was successfully logged on. Logon Type: 2,user_008,GIBLBANK,user_008,GIBLBANK,2,Interactive,,55501,,,WS-KTM-015,,False,,
4720,EVT-50K2T9Z04Q,2025-01-06 14:19:35.550,SRV-SQL-01,GIBLBANK,User account created,A new user account was created: user_951,admin_02,GIBLBANK,user_951,GIBLBANK,,,,53644,,,SRV-SQL-01,,False,,
5140,EVT-NWPCRS74GI,2025-01-06 16:17:23.139,SRV-APP-01,GIBLBANK,Network share accessed,A network share object was accessed: \\SRV-FILE-01\Finance,user_017,GIBLBANK,user_017,GIBLBANK,3,Network,System,63360,,,SRV-APP-01,,False,,
4624,EVT-0FGCYWF0B0,2025-01-06 16:56:36.428,WS-BTW-004,GIBLBANK,Successful logon,An account was successfully logged on. Logon Type: 10,admin_02,GIBLBANK,admin_02,GIBLBANK,10,RemoteInteractive,,1200,,192.168.1.41,WS-BTW-004,,False,,
4625,EVT-13G4WANI24,2025-01-06 17:14:46.441,WS-KTM-013,GIBLBANK,Failed logon,An account failed to log on. Reason: Account locked,user_024,GIBLBANK,user_024,GIBLBANK,3,Network,,31858,,192.168.1.39,WS-KTM-013,Account locked,False,,
4625,EVT-C40IRG29FL,2025-01-06 17:15:57.980,ATM-KTM-005,GIBLBANK,Failed logon,An account failed to log on. Reason: Unknown user,atm_tech1,GIBLBANK,atm_tech1,GIBLBANK,3,Network,,38949,,192.168.1.43,ATM-KTM-005,Unknown user,False,,
4720,EVT-1EDM2Z9QNR,2025-01-06 17:30:18.087,SRV-FILE-01,GIBLBANK,User account created,A new user account was created: user_905,admin_01,GIBLBANK,user_905,GIBLBANK,,,,2621,,,SRV-FILE-01,,False,,
4624,EVT-K0C60UE1QI,2025-01-07 08:31:22.767,WS-PKR-009,GIBLBANK,Successful logon,An account was successfully logged on. Logon Type: 2,svc_monitor,GIBLBANK,svc_monitor,GIBLBANK,2,Interactive,,46709,,,WS-PKR-009,,False,,
4624,EVT-7Q82EMYOVT,2025-01-07 10:39:08.052,WS-KTM-019,GIBLBANK,Successful logon,An account was successfully logged on. Logon Type: 10,swift_op2,GIBLBANK,swift_op2,GIBLBANK,10,RemoteInteractive,,60131,,192.168.1.27,WS-KTM-019,,False,,
4771,EVT-R6VTB9KOJW,2025-01-07 19:04:43.921,SRV-DC-01,GIBLBANK,Kerberos pre-auth failed,Kerberos pre-authentication failure — possible Kerberoasting.,user_033,GIBLBANK,user_033,GIBLBANK,3,Network,,55848,,10.30.1.1,SRV-DC-01,,True,KERBEROASTING,T1558.003
4624,EVT-IE9LAODEZT,2025-01-08 09:38:40.541,WS-KTM-010,GIBLBANK,Successful logon,An account was successfully logged on. Logon Type: 3,svc_antivirus,GIBLBANK,svc_antivirus,GIBLBANK,3,Network,,48449,,192.168.1.32,WS-KTM-010,,False,,
4624,EVT-W8WR4IJI93,2025-01-08 09:44:40.059,SWIFT-GW-03,GIBLBANK,Successful logon,Service account logon.,svc_antivirus,GIBLBANK,svc_antivirus,GIBLBANK,5,Service,,56534,,,SWIFT-GW-03,,False,,
4688,EVT-KLXJHS3A8M,2025-01-08 09:50:21.565,WS-KTM-010,GIBLBANK,Process created,A new process has been created: outlook.exe,user_009,GIBLBANK,user_009,GIBLBANK,,,outlook.exe,3037,services.exe,,WS-KTM-010,,False,,
4625,EVT-SILB59WWII,2025-01-08 12:01:39.293,SRV-DC-02,GIBLBANK,Failed logon,An account failed to log on. Reason: Unknown user,admin_01,GIBLBANK,admin_01,GIBLBANK,3,Network,,40093,,10.30.1.2,SRV-DC-02,Unknown user,False,,
5140,EVT-ZYRDB14JUJ,2025-01-08 12:47:15.117,SRV-FILE-01,GIBLBANK,Network share accessed,A network share object was accessed: \\SRV-SQL-01\Backup,user_003,GIBLBANK,user_003,GIBLBANK,3,Network,System,37495,,,SRV-FILE-01,,False,,
4740,EVT-7O1IG8AP02,2025-01-08 15:19:09.192,WS-PKR-009,GIBLBANK,Account locked out,Account user_023 was locked after repeated failures.,user_023,GIBLBANK,user_023,GIBLBANK,,,,43105,,203.0.113.55,WS-PKR-009,Account locked,False,,
4624,EVT-XOJD7XR49V,2025-01-09 08:03:53.632,SRV-PROXY-01,GIBLBANK,Successful logon,Service account logon.,svc_backup,GIBLBANK,svc_backup,GIBLBANK,5,Service,,62263,,,SRV-PROXY-01,,False,,
4624,EVT-80380CBQA4,2025-01-09 08:52:36.991,SRV-APP-01,GIBLBANK,Successful logon,Network logon from workstation WS-KTM-015 to server — lateral movement.,dba_user1,GIBLBANK,dba_user1,GIBLBANK,3,Network,net.exe,9507,,10.10.1.8,SRV-APP-01,,False,,
4624,EVT-NNY9MO2HZG,2025-01-09 10:47:19.623,ATM-PKR-003,GIBLBANK,Successful logon,An account was successfully logged on. Logon Type: 2,user_030,GIBLBANK,user_030,GIBLBANK,2,Interactive,,62467,,,ATM-PKR-003,,False,,
4688,EVT-GFVND9Y7U6,2025-01-09 11:23:10.192,SRV-PROXY-01,GIBLBANK,Process created,A new process has been created: notepad.exe,user_010,GIBLBANK,user_010,GIBLBANK,,,notepad.exe,36903,services.exe,,SRV-PROXY-01,,False,,
4624,EVT-U1TOZHDV5O,2025-01-09 11:37:34.502,WS-PKR-001,GIBLBANK,Successful logon,An account was successfully logged on. Logon Type: 10,user_033,GIBLBANK,user_033,GIBLBANK,10,RemoteInteractive,,17660,,10.10.1.2,WS-PKR-001,,False,,
5140,EVT-4TS3MGVVLS,2025-01-09 11:42:43.619,SRV-DC-02,GIBLBANK,Network share accessed,A network share object was accessed: \\SRV-SQL-01\Backup,svc_monitor,GIBLBANK,svc_monitor,GIBLBANK,3,Network,System,54122,,,SRV-DC-02,,False,,
4624,EVT-FI44TD1FPE,2025-01-09 11:54:21.943,WS-KTM-002,GIBLBANK,Successful logon,An account was successfully logged on. Logon Type: 3,user_014,GIBLBANK,user_014,GIBLBANK,3,Network,,59540,,10.10.1.2,WS-KTM-002,,False,,
4648,EVT-HBQ64DO4XX,2025-01-09 12:10:52.590,SRV-FILE-01,GIBLBANK,Explicit credential use,Explicit credentials used: admin_01 used credentials for admin_02.,admin_01,GIBLBANK,admin_02,GIBLBANK,3,Network,,41741,,192.168.1.11,SRV-FILE-01,,False,,
4688,EVT-H9K4C8QYDQ,2025-01-09 12:25:36.470,ATM-PKR-003,GIBLBANK,Process created,A new process has been created: outlook.exe,user_036,GIBLBANK,user_036,GIBLBANK,,,outlook.exe,56087,services.exe,,ATM-PKR-003,,False,,
4624,EVT-C3XNCHKV9D,2025-01-09 13:00:31.005,WS-PKR-006,GIBLBANK,Successful logon,An account was successfully logged on. Logon Type: 3,user_014,GIBLBANK,user_014,GIBLBANK,3,Network,,35539,,192.168.1.24,WS-PKR-006,,False,,
4672,EVT-OZZ917W113,2025-01-09 13:58:38.489,SRV-DC-01,GIBLBANK,Special privileges assigned,Special privileges assigned to new logon.,svc_antivirus,GIBLBANK,svc_antivirus,GIBLBANK,3,Network,,40641,,,SRV-DC-01,,False,,
4624,EVT-Z98TRMXU7U,2025-01-09 16:23:13.670,ATM-KTM-001,GIBLBANK,Successful logon,An account was successfully logged on. Logon Type: 3,user_037,GIBLBANK,user_037,GIBLBANK,3,Network,,48816,,192.168.1.22,ATM-KTM-001,,False,,
4720,EVT-3UKWQ797TC,2025-01-09 17:39:34.907,SRV-DC-02,GIBLBANK,User account created,A new user account was created: user_958,admin_01,GIBLBANK,user_958,GIBLBANK,,,,34839,,,SRV-DC-02,,False,,
4688,EVT-M2IZ6J4CEV,2025-01-10 08:20:45.713,WS-KTM-015,GIBLBANK,Process created,powershell.exe spawned by winword.exe — macro execution indicator.,user_038,GIBLBANK,user_038,GIBLBANK,,,powershell.exe,50104,winword.exe,,WS-KTM-015,,False,,
4624,EVT-C7HL6NHPJE,2025-01-10 08:31:02.885,WS-PKR-004,GIBLBANK,Successful logon,An account was successfully logged on. Logon Type: 10,user_003,GIBLBANK,user_003,GIBLBANK,10,RemoteInteractive,,46174,,192.168.1.31,WS-PKR-004,,False,,
4688,EVT-EZEX85CDIM,2025-01-10 11:11:41.101,WS-KTM-015,GIBLBANK,Process created,A new process has been created: explorer.exe,user_003,GIBLBANK,user_003,GIBLBANK,,,explorer.exe,45596,explorer.exe,,WS-KTM-015,,False,,
4625,EVT-J2T2TNGTG2,2025-01-10 11:38:30.702,ATM-KTM-002,GIBLBANK,Failed logon,An account failed to log on. Reason: Wrong password,user_005,GIBLBANK,user_005,GIBLBANK,3,Network,,21730,,192.168.1.22,ATM-KTM-002,Wrong password,False,,
4625,EVT-GL7PJD16DU,2025-01-10 11:57:39.589,SRV-APP-01,GIBLBANK,Failed logon,Brute force attempt from 198.51.100.22.,user_034,GIBLBANK,user_034,GIBLBANK,3,Network,,28003,,198.51.100.22,SRV-APP-01,Wrong password,True,,
4624,EVT-B5LTBXVERO,2025-01-10 12:28:37.400,SWIFT-GW-02,GIBLBANK,Successful logon,An account was successfully logged on. Logon Type: 3,svc_monitor,GIBLBANK,svc_monitor,GIBLBANK,3,Network,,58847,,192.168.1.12,SWIFT-GW-02,,False,,
